OrderID,Product,ProductCategory,Brand,Description,StandardCost,UnitPrice,DateRequest,QuantitySold,DiscountPrice,TotalPrice,CustomerName,CustomerRegion,CustomerCity,Canceled,Feedback
4839,URTP0LZJJ,Резистор,Unknown,точный сверхмощный 991 672 простой удобный надёжный быстрый,19.33,37.21,2024-04-01 09:19:58,31,0.1,1268.86,Наумов Панкрат Константиновна,Витебская область,Орша,0,
4840,SJ49ITN7S,Разъем,Nexus Labs,,16.7,27.94,2024-04-01 09:47:51,47,0.1,1444.5,Титова Алексей Алексеевна,Могилёвская область,Осиповичи,0,4
4841,UZFK8UT0C,Дисплей,Digit Solutions,,21.08,41.52,2024-04-01 09:51:38,155,0.25,8044.5,Шаров Болеслав Романовна,Брестская область,Брест,0,4
4842,TOGN1W1HT,Индуктивность,Digit Solutions,надёжный простой новый быстрый 977 удобный 338 точный,21.38,39.44,2024-04-01 10:34:54,141,0.25,6951.3,Мельникова Владлен Даниилович,Могилёвская область,Бобруйск,0,5
4843,5LXO6QJIU,Транзистор,Nexus Labs,662 177 легкий точный новый удобный простой быстрый,13.17,22.76,2024-04-01 10:43:05,87,0.2,2376.14,Колесникова Аверкий Игнатьевич,Гомельская область,Жлобин,0,4
4844,UZFK8UT0C,Дисплей,Digit Solutions,,21.08,41.52,2024-04-01 10:49:24,104,0.25,5397.6,Пестова Евсей Даниловна,Минская область,Молодечно,0,4
4845,TOGN1W1HT,Индуктивность,Digit Solutions,надёжный простой новый быстрый 977 удобный 338 точный,21.38,39.44,2024-04-01 11:18:03,182,0.25,8972.6,Рябова Валерий Гавриилович,Гомельская область,Жлобин,0,
4846,M5ZJA8DZR,Трансформатор,Kepler Technologies,,17.0,31.09,2024-04-01 11:40:39,24,0.1,820.78,Сорокин Феоктист Викторовна,Минск,Минск,0,5
4847,WBFUK9E1V,Разъем,Nexus Labs,,4.48,8.56,2024-04-01 12:17:45,180,0.25,1926.0,Захаров Денис Жоресович,Витебская область,Новополоцк,0,2
4848,A0L7253J2,Трансформатор,JPZ,207 быстрый сверхмощный 45 надёжный точный новый простой,28.46,46.15,2024-04-01 13:36:53,83,0.2,4596.54,Филиппов Натан Вениаминовна,Гродненская область,Волковыск,0,
